Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20.0,RL,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,,5.0,5.0,1965.0,1965.0,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,906.0,0.0,134.0,1040.0,GasA,Ex,Y,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3,1.0,TA,5,Typ,0.0,1.0,384.0,Y,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,WD,Normal,129500
12,60.0,RL,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9.0,5.0,2005.0,2006.0,Hip,CompShg,WdShing,Wd Shng,Ex,TA,PConc,998.0,0.0,177.0,1175.0,GasA,Ex,Y,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0.0,4,1.0,Ex,11,Typ,2.0,3.0,736.0,Y,147.0,21,0.0,0.0,0.0,0.0,0.0,7.0,2006.0,New,Partial,345000
13,20.0,RL,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,6.0,1962.0,1962.0,Hip,CompShg,HdBoard,Plywood,TA,TA,CBlock,737.0,0.0,175.0,912.0,GasA,TA,Y,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,2,1.0,TA,4,Typ,0.0,1.0,352.0,Y,140.0,0,0.0,0.0,176.0,0.0,0.0,9.0,2008.0,WD,Normal,144000
14,20.0,RL,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7.0,5.0,2006.0,2007.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0.0,0.0,1494.0,1494.0,GasA,Ex,Y,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,3,1.0,Gd,7,Typ,1.0,3.0,840.0,Y,160.0,33,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,New,Partial,279500
15,20.0,RL,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1960.0,1960.0,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,733.0,0.0,520.0,1253.0,GasA,TA,Y,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,2,1.0,TA,5,Typ,1.0,1.0,352.0,Y,0.0,213,176.0,0.0,0.0,0.0,0.0,5.0,2008.0,WD,Normal,157000
16,45.0,RM,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7.0,8.0,1929.0,2001.0,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,0.0,0.0,832.0,832.0,GasA,Ex,Y,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,2,1.0,TA,5,Typ,0.0,2.0,576.0,Y,48.0,112,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,WD,Normal,132000
17,20.0,RL,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,7.0,1970.0,1970.0,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,578.0,0.0,426.0,1004.0,GasA,Ex,Y,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2,1.0,TA,5,Typ,1.0,2.0,480.0,Y,0.0,0,0.0,0.0,0.0,0.0,700.0,3.0,2010.0,WD,Normal,149000
18,90.0,RL,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4.0,5.0,1967.0,1967.0,Gable,CompShg,MetalSd,MetalSd,TA,TA,Slab,0.0,0.0,0.0,0.0,GasA,TA,Y,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0,2,2.0,TA,6,Typ,0.0,2.0,516.0,Y,0.0,0,0.0,0.0,0.0,0.0,500.0,10.0,2006.0,WD,Normal,90000
19,20.0,RL,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5.0,5.0,2004.0,2004.0,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,646.0,0.0,468.0,1114.0,GasA,Ex,Y,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,3,1.0,Gd,6,Typ,0.0,2.0,576.0,Y,0.0,102,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,WD,Normal,159000
20,20.0,RL,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1958.0,1965.0,Hip,CompShg,BrkFace,Plywood,TA,TA,CBlock,504.0,0.0,525.0,1029.0,GasA,TA,Y,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,3,1.0,TA,6,Min1,0.0,1.0,294.0,Y,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,2009.0,COD,Abnorml,139000
21,60.0,RL,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.0,5.0,2005.0,2006.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0.0,0.0,1158.0,1158.0,GasA,Ex,Y,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,4,1.0,Gd,9,Typ,1.0,3.0,853.0,Y,240.0,154,0.0,0.0,0.0,0.0,0.0,11.0,2006.0,New,Partial,325300
22,45.0,RM,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7.0,7.0,1930.0,1950.0,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,0.0,0.0,637.0,637.0,GasA,Ex,Y,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,3,1.0,Gd,6,Typ,1.0,1.0,280.0,N,0.0,0,205.0,0.0,0.0,0.0,0.0,6.0,2007.0,WD,Normal,139400
23,20.0,RL,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.0,5.0,2002.0,2002.0,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0.0,0.0,1777.0,1777.0,GasA,Ex,Y,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3,1.0,Gd,7,Typ,1.0,2.0,534.0,Y,171.0,159,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,WD,Normal,230000
24,120.0,RM,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5.0,7.0,1976.0,1976.0,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,840.0,0.0,200.0,1040.0,GasA,TA,Y,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3,1.0,TA,6,Typ,1.0,2.0,572.0,Y,100.0,110,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,WD,Normal,129900
25,20.0,RL,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,8.0,1968.0,2001.0,Gable,CompShg,Plywood,Plywood,TA,Gd,CBlock,188.0,668.0,204.0,1060.0,GasA,Ex,Y,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3,1.0,Gd,6,Typ,1.0,1.0,270.0,Y,406.0,90,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,WD,Normal,154000
26,20.0,RL,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0.0,0.0,1566.0,1566.0,GasA,Ex,Y,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3,1.0,Gd,7,Typ,1.0,3.0,890.0,Y,0.0,56,0.0,0.0,0.0,0.0,0.0,7.0,2009.0,WD,Normal,256300
27,20.0,RL,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1951.0,2000.0,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,234.0,486.0,180.0,900.0,GasA,TA,Y,900.0,0.0,0.0,900.0,0.0,1.0,1.0,0.0,3,1.0,Gd,5,Typ,0.0,2.0,576.0,Y,222.0,32,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,WD,Normal,134800
28,20.0,RL,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2008.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1218.0,0.0,486.0,1704.0,GasA,Ex,Y,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3,1.0,Gd,7,Typ,1.0,3.0,772.0,Y,0.0,50,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,WD,Normal,306000
29,20.0,RL,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1957.0,1997.0,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,1277.0,0.0,207.0,1484.0,GasA,TA,Y,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,2,1.0,TA,6,Typ,2.0,1.0,319.0,Y,288.0,258,0.0,0.0,0.0,0.0,0.0,12.0,2006.0,WD,Normal,207500
30,30.0,RM,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4.0,6.0,1927.0,1950.0,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0.0,0.0,520.0,520.0,GasA,Fa,N,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1,1.0,Fa,4,Typ,0.0,1.0,240.0,Y,49.0,0,87.0,0.0,0.0,0.0,0.0,5.0,2008.0,WD,Normal,68500
31,70.0,C (all),8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4.0,4.0,1920.0,1950.0,Gambrel,CompShg,BrkFace,BrkFace,TA,Fa,BrkTil,0.0,0.0,649.0,649.0,GasA,TA,N,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3,1.0,TA,6,Typ,0.0,1.0,250.0,N,0.0,54,172.0,0.0,0.0,0.0,0.0,7.0,2008.0,WD,Normal,40000
32,20.0,RL,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,6.0,1966.0,2006.0,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,0.0,0.0,1228.0,1228.0,GasA,Gd,Y,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,3,1.0,Gd,6,Typ,0.0,1.0,271.0,Y,0.0,65,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,WD,Normal,149350
33,20.0,RL,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0.0,0.0,1234.0,1234.0,GasA,Ex,Y,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,3,1.0,Gd,7,Typ,0.0,2.0,484.0,Y,0.0,30,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,WD,Normal,179900
34,20.0,RL,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,5.0,1959.0,1959.0,Hip,CompShg,BrkFace,BrkFace,TA,TA,CBlock,1018.0,0.0,380.0,1398.0,GasA,Gd,Y,1700.0,0.0,0.0,1700.0,0.0,1.0,1.0,1.0,4,1.0,Gd,6,Typ,1.0,2.0,447.0,Y,0.0,38,0.0,0.0,0.0,0.0,0.0,4.0,2010.0,WD,Normal,165500
35,120.0,RL,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9.0,5.0,2005.0,2005.0,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,1153.0,0.0,408.0,1561.0,GasA,Ex,Y,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0,2,1.0,Ex,6,Typ,1.0,2.0,556.0,Y,203.0,47,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,WD,Normal,277500
36,60.0,RL,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.0,5.0,2004.0,2005.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0.0,0.0,1117.0,1117.0,GasA,Ex,Y,1132.0,1320.0,0.0,2452.0,0.0,0.0,3.0,1.0,4,1.0,Gd,9,Typ,1.0,3.0,691.0,Y,113.0,32,0.0,0.0,0.0,0.0,0.0,9.0,2006.0,WD,Normal,309000
37,20.0,RL,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5.0,5.0,1994.0,1995.0,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,0.0,0.0,1097.0,1097.0,GasA,Ex,Y,1097.0,0.0,0.0,1097.0,0.0,0.0,1.0,1.0,3,1.0,TA,6,Typ,0.0,2.0,672.0,Y,392.0,64,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,WD,Normal,145000
38,20.0,RL,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1954.0,1990.0,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1213.0,0.0,84.0,1297.0,GasA,Gd,Y,1297.0,0.0,0.0,1297.0,0.0,1.0,1.0,0.0,3,1.0,TA,5,Typ,1.0,2.0,498.0,Y,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,2009.0,WD,Normal,153000
39,20.0,RL,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1953.0,2007.0,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,731.0,0.0,326.0,1057.0,GasA,TA,Y,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,3,1.0,Gd,5,Typ,0.0,1.0,246.0,Y,0.0,52,0.0,0.0,0.0,0.0,0.0,1.0,2010.0,WD,Abnorml,109000
40,90.0,RL,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4.0,5.0,1955.0,1955.0,Gable,CompShg,AsbShng,Plywood,TA,TA,PConc,0.0,0.0,0.0,0.0,GasA,TA,N,1152.0,0.0,0.0,1152.0,0.0,0.0,2.0,0.0,2,2.0,Fa,6,Typ,0.0,0.0,0.0,N,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,WD,AdjLand,82000
41,20.0,RL,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1965.0,1965.0,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,643.0,0.0,445.0,1088.0,GasA,Ex,Y,1324.0,0.0,0.0,1324.0,0.0,0.0,2.0,0.0,3,1.0,TA,6,Typ,1.0,2.0,440.0,Y,0.0,138,0.0,0.0,0.0,0.0,0.0,12.0,2006.0,WD,Abnorml,160000
42,20.0,RL,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5.0,6.0,1959.0,1959.0,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,967.0,0.0,383.0,1350.0,GasA,Gd,Y,1328.0,0.0,0.0,1328.0,0.0,1.0,1.0,1.0,2,1.0,TA,5,Typ,2.0,1.0,308.0,P,0.0,104,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,WD,Normal,170000
43,85.0,RL,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5.0,7.0,1983.0,1983.0,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,747.0,93.0,0.0,840.0,GasA,Gd,Y,884.0,0.0,0.0,884.0,1.0,0.0,1.0,0.0,2,1.0,Gd,5,Typ,0.0,2.0,504.0,Y,240.0,0,0.0,0.0,0.0,0.0,0.0,12.0,2007.0,WD,Normal,144000
44,20.0,RL,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5.0,6.0,1975.0,1980.0,Hip,CompShg,VinylSd,VinylSd,TA,TA,CBlock,280.0,491.0,167.0,938.0,GasA,TA,Y,938.0,0.0,0.0,938.0,1.0,0.0,1.0,0.0,3,1.0,TA,5,Typ,0.0,1.0,308.0,Y,145.0,0,0.0,0.0,0.0,0.0,0.0,7.0,2008.0,WD,Normal,130250
45,20.0,RL,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1959.0,1959.0,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,179.0,506.0,465.0,1150.0,GasA,Ex,Y,1150.0,0.0,0.0,1150.0,1.0,0.0,1.0,0.0,3,1.0,TA,6,Typ,0.0,1.0,300.0,Y,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,2006.0,WD,Normal,141000
46,120.0,RL,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9.0,5.0,2005.0,2005.0,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,456.0,0.0,1296.0,1752.0,GasA,Ex,Y,1752.0,0.0,0.0,1752.0,1.0,0.0,2.0,0.0,2,1.0,Ex,6,Typ,1.0,2.0,576.0,Y,196.0,82,0.0,0.0,0.0,0.0,0.0,2.0,2010.0,WD,Normal,319900
47,50.0,RL,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7.0,5.0,2003.0,2003.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1351.0,0.0,83.0,1434.0,GasA,Ex,Y,1518.0,631.0,0.0,2149.0,1.0,0.0,1.0,1.0,1,1.0,Gd,6,Typ,,2.0,670.0,Y,168.0,43,0.0,0.0,198.0,0.0,0.0,8.0,2009.0,WD,Abnorml,239686
48,20.0,FV,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8.0,5.0,2006.0,2006.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24.0,0.0,1632.0,1656.0,GasA,Ex,Y,1656.0,0.0,0.0,1656.0,0.0,0.0,2.0,0.0,3,1.0,Gd,7,Typ,0.0,3.0,826.0,Y,0.0,146,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,WD,Normal,249700
49,190.0,RM,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4.0,5.0,1920.0,2008.0,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0.0,0.0,736.0,736.0,GasA,Gd,Y,736.0,716.0,0.0,1452.0,0.0,0.0,2.0,0.0,2,3.0,TA,8,Typ,0.0,0.0,0.0,N,0.0,0,102.0,0.0,0.0,0.0,0.0,6.0,2009.0,New,Partial,113000
50,20.0,RL,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,7.0,1966.0,1966.0,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,763.0,0.0,192.0,955.0,GasA,Ex,Y,955.0,0.0,0.0,955.0,1.0,0.0,1.0,0.0,3,1.0,TA,6,Typ,0.0,1.0,386.0,Y,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2007.0,WD,Normal,127000
51,60.0,RL,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6.0,6.0,1997.0,1997.0,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,182.0,0.0,612.0,794.0,GasA,Gd,Y,794.0,676.0,0.0,1470.0,0.0,1.0,2.0,0.0,3,1.0,TA,6,Typ,0.0,2.0,388.0,Y,0.0,75,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,WD,Normal,177000
52,50.0,RM,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6.0,6.0,1934.0,1950.0,Gable,CompShg,Wd Sdng,,TA,TA,PConc,0.0,0.0,816.0,816.0,GasA,TA,Y,816.0,0.0,360.0,1176.0,0.0,0.0,1.0,0.0,3,1.0,TA,6,Typ,1.0,2.0,528.0,Y,112.0,0,0.0,0.0,0.0,0.0,400.0,9.0,2006.0,WD,Normal,114500
